Andorra	51	
United Arab Emirates	5359	
Afghanistan	177	
Antigua and Barbuda	57	
Anguilla	2	
Albania	415	
Armenia	446	
Angola	355	
Argentina	17152	
American Samoa	11	
Austria	8471	
Australia	24239	
Aruba	62	
Åland Islands	19	
Azerbaijan	454	
Bosnia and Herzegovina	838	
Barbados	133	
Bangladesh	3420	
Belgium	9818	
Burkina Faso	75	
Bulgaria	2174	
Bahrain	540	
Burundi	31	
Benin	113	
Saint Barthélemy	1	
Bermuda	34	
Brunei	161	
Bolivia	758	
Bonaire	15	
Brazil	58252	
Bahamas, The	119	
Bhutan	14	
Botswana	161	
Belarus	3315	
Belize	84	
Canada	25401	
Cocos (Keeling) Islands	1	
Congo (DRC)	212	
Central African Republic	5	
Congo	50	
Switzerland	11093	
Côte d’Ivoire	664	
Cook Islands	4	
Chile	10114	
Cameroon	509	
China	79295	
Colombia	9568	
Costa Rica	1982	
Cabo Verde	48	
Curaçao	98	
Christmas Island	2	
Cyprus	611	
Czech Republic	9391	
Germany	78493	
Djibouti	46	
Denmark	4881	
Dominica	22	
Dominican Republic	1507	
Algeria	1994	
Ecuador	3657	
Estonia	1099	
Egypt	9655	
Spain	28502	
Ethiopia	244	
Finland	4407	
Fiji	134	
Falkland Islands	2	
Micronesia	4	
Faroe Islands	36	
France	54410	
Gabon	135	
United Kingdom	50648	
Grenada	31	
Georgia	803	
French Guiana	99	
Guernsey	35	
Ghana	1241	
Gibraltar	22	
Greenland	25	
GLOBAL	47	
Gambia, The	50	
Guinea	38	
Guadeloupe	270	
Equatorial Guinea	13	
Greece	7418	
Guatemala	1373	
Guam	114	
Guinea-Bissau	8	
Guyana	120	
Hong Kong SAR	4962	
Honduras	741	
Croatia	2302	
Haiti	132	
Hungary	6279	
Indonesia	15309	
Ireland	2962	
Israel	6540	
Isle of Man	67	
India	54300	
Iraq	1475	
Iceland	366	
Italy	42507	
Jersey	48	
Jamaica	643	
Jordan	1466	
Japan	18130	
Kenya	1398	
Kyrgyzstan	238	
Cambodia	558	
Kiribati	1	
Comoros	6	
Saint Kitts and Nevis	18	
Korea	22775	
Kuwait	1436	
Cayman Islands	41	
Kazakhstan	1644	
Laos	125	
Lebanon	787	
Saint Lucia	70	
Liechtenstein	43	
Sri Lanka	1428	
Liberia	32	
Lesotho	27	
Lithuania	1782	
Luxembourg	525	
Latvia	976	
Libya	237	
Morocco	3455	
Monaco	20	
Moldova	870	
Montenegro	134	
Saint Martin	14	
Madagascar	292	
Marshall Islands	5	
Macedonia, FYRO	403	
Mali	94	
Myanmar	360	
Mongolia	182	
Macao SAR	266	
Northern Mariana Islands	19	
Martinique	312	
Mauritania	32	
Montserrat	2	
Malta	343	
Mauritius	395	
Maldives	128	
Malawi	175	
Mexico	33018	
Malaysia	7478	
Mozambique	251	
Namibia	338	
New Caledonia	117	
Niger	34	
NEUTRAL	47	
Nigeria	1645	
Nicaragua	521	
Netherlands	19193	
Norway	3766	
Nepal	1134	
Nauru	1	
Niue	1	
New Zealand	4190	
Oman	825	
Panama	897	
Peru	3856	
French Polynesia	117	
Papua New Guinea	50	
Philippines	7495	
Pakistan	7298	
Poland	20150	
Saint Pierre and Miquelon	4	
Puerto Rico	1008	
Palestinian Authority	545	
Portugal	8987	
Palau	1	
Paraguay	718	
Qatar	1333	
Reunion	729	
Romania	7209	
Serbia	2541	
Russia	49045	
Rwanda	99	
Saudi Arabia	14319	
Solomon Islands	5	
Seychelles	43	
Sweden	6607	
Singapore	5400	
St Helena, Ascension, Tristan da Cunha	2	
Slovenia	1480	
Svalbard	1	
Slovakia	2906	
Sierra Leone	74	
San Marino	14	
Senegal	670	
Somalia	103	
Suriname	146	
São Tomé and Príncipe	5	
El Salvador	1122	
Sint Maarten	22	
Swaziland	36	
Turks and Caicos Islands	25	
Chad	5	
Togo	151	
Thailand	10102	
Tajikistan	52	
Timor-Leste	13	
Turkmenistan	39	
Tunisia	1031	
Tonga	8	
Turkey	12003	
Trinidad and Tobago	582	
Taiwan	8057	
Tanzania	398	
Ukraine	14565	
Uganda	306	
United States	178903	
Uruguay	1176	
Uzbekistan	233	
Unknown	6372	
Holy See (Vatican City)	1	
Saint Vincent and the Grenadines	56	
Venezuela	2411	
British Virgin Islands	14	
US Virgin Islands	40	
Vietnam	9393	
Vanuatu	8	
Samoa	4	
Yemen	154	
Mayotte	66	
South Africa	8355	
Zambia	472	
Zimbabwe	954	
